Symbol,Name,Sector
RELIANCE,Reliance Industries Limited,nil
TCS,Tata Consultancy Services Limited,nil
HDFCBANK,HDFC Bank Limited,nil
INFY,Infosys Limited,nil
HINDUNILVR,Hindustan Unilever Limited,nil
HDFC,Housing Development Finance Corporation Limited,nil
ICICIBANK,ICICI Bank Limited,nil
KOTAKBANK,Kotak Mahindra Bank Limited,nil
SBIN,State Bank of India,nil
BAJFINANCE,Bajaj Finance Limited,nil
BHARTIARTL,Bharti Airtel Limited,nil
ITC,ITC Limited,nil
HCLTECH,HCL Technologies Limited,nil
ASIANPAINT,Asian Paints Limited,nil
WIPRO,Wipro Limited,nil
AXISBANK,Axis Bank Limited,nil
MARUTI,Maruti Suzuki India Limited,nil
LT,Larsen & Toubro Limited,nil
ULTRACEMCO,UltraTech Cement Limited,nil
DMART,Avenue Supermarts Limited,nil
ADANIGREEN,Adani Green Energy Limited,nil
BAJAJFINSV,Bajaj Finserv Limited,nil
SUNPHARMA,Sun Pharmaceutical Industries Limited,nil
ADANIPORTS,Adani Ports and Special Economic Zone Limited,nil
HDFCLIFE,HDFC Life Insurance Company Limited,nil
TITAN,Titan Company Limited,nil
ONGC,Oil & Natural Gas Corporation Limited,nil
HINDZINC,Hindustan Zinc Limited,nil
ADANIENT,Adani Enterprises Limited,nil
JSWSTEEL,JSW Steel Limited,nil
POWERGRID,Power Grid Corporation of India Limited,nil
SHREECEM,SHREE CEMENT LIMITED,nil
BAJAJ-AUTO,Bajaj Auto Limited,nil
ATGL,Adani Total Gas Limited,nil
NTPC,NTPC Limited,nil
TATAMOTORS,Tata Motors Limited,nil
ADANITRANS,Adani Transmission Limited,nil
M&M,Mahindra & Mahindra Limited,nil
DIVISLAB,Divi's Laboratories Limited,nil
TECHM,Tech Mahindra Limited,nil
DABUR,Dabur India Limited,nil
GRASIM,Grasim Industries Limited,nil
BPCL,Bharat Petroleum Corporation Limited,nil
PIDILITIND,Pidilite Industries Limited,nil
TATASTEEL,Tata Steel Limited,nil
SBILIFE,SBI Life Insurance Company Limited,nil
BRITANNIA,Britannia Industries Limited,nil
SBICARD,SBI Cards and Payment Services Limited,nil
IOC,Indian Oil Corporation Limited,nil
VEDL,Vedanta Limited,nil
COALINDIA,Coal India Limited,nil
DRREDDY,Dr. Reddy's Laboratories Limited,nil
GODREJCP,Godrej Consumer Products Limited,nil
BERGEPAINT,Berger Paints (I) Limited,nil
INDUSINDBK,IndusInd Bank Limited,nil
HINDALCO,Hindalco Industries Limited,nil
EICHERMOT,Eicher Motors Limited,nil
DLF,DLF Limited,nil
LTI,Larsen & Toubro Infotech Limited,nil
INDUSTOWER,Indus Towers Limited,nil
HAVELLS,Havells India Limited,nil
CIPLA,Cipla Limited,nil
SIEMENS,Siemens Limited,nil
ICICIGI,ICICI Lombard General Insurance Company Limited,nil
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,nil
MOTHERSUMI,Motherson Sumi Systems Limited,nil
INDIGO,InterGlobe Aviation Limited,nil
HDFCAMC,HDFC Asset Management Company Limited,nil
AMBUJACEM,Ambuja Cements Limited,nil
GAIL,GAIL (India) Limited,nil
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,nil
HEROMOTOCO,Hero MotoCorp Limited,nil
NAUKRI,Info Edge (India) Limited,nil
BANDHANBNK,Bandhan Bank Limited,nil
MARICO,Marico Limited,nil
AUROPHARMA,Aurobindo Pharma Limited,nil
BIOCON,Biocon Limited,nil
UPL,UPL Limited,nil
MUTHOOTFIN,Muthoot Finance Limited,nil
LUPIN,Lupin Limited,nil
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,nil
CADILAHC,Cadila Healthcare Limited,nil
TORNTPHARM,Torrent Pharmaceuticals Limited,nil
COLPAL,Colgate Palmolive (India) Limited,nil
HONAUT,Honeywell Automation India Limited,nil
APOLLOHOSP,Apollo Hospitals Enterprise Limited,nil
BOSCHLTD,Bosch Limited,nil
IDBI,IDBI Bank Limited,nil
PGHH,Procter & Gamble Hygiene and Health Care Limited,nil
GLAND,Gland Pharma Limited,nil
